,timestamp,tweet,retweet_count,filter,TB_sscore,TB_subjectivity,GCL_sscore,GCL_smag,TB_sentiment,GCL_sentiment,manual
608,2021-03-01 19:57:08+00:00,Doge meme shield (legendary item) ,26863,TRUE,1,1,0.2,0.2,positive,positive,1
665,2021-02-21 21:27:06+00:00,Dojo 4 Doge,32841,TRUE,0,0,0.3,0.3,neutral,positive,1
670,2021-02-20 23:42:57+00:00,Cryptocurrency explained m.youtube.com/watch?v=YHjYt6…,23911,TRUE,0,0,0,0,neutral,neutral,1
672,2021-02-20 20:52:56+00:00,Heard a rumor some crypto coin was pegging the dollar 🤣🤣,21105,TRUE,0,0,-0.1,0.1,neutral,negative,-1
676,2021-02-20 08:42:28+00:00, I just set up some little Doge mining rigs with my kids. It was fun.,6789,TRUE,0.05625,0.35,0.5,1.1,positive,positive,1
679,2021-02-20 06:07:51+00:00," An email saying you have gold is not the same as having gold. You might as well have crypto.

Money is just data that allows us to avoid the inconvenience of barter.

That data, like all data, is subject to latency &amp; error. The system will evolve to that which minimizes both.",10310,TRUE,-0.083333333,0.229166667,-0.3,2.1,negative,negative,-1
686,2021-02-19 04:20:47+00:00,"  Somehow, a hash text file using ancient crypto can be exchanged for real goods &amp; services!? Amazing.",1072,TRUE,0.425,0.6,0.4,1.1,positive,positive,1
687,2021-02-19 03:11:31+00:00," To be clear, I am *not* an investor, I am an engineer. I don’t even own any publicly traded stock besides Tesla. 

However, when fiat currency has negative real interest, only a fool wouldn’t look elsewhere. 

Bitcoin is almost as bs as fiat money. The key word is “almost”.",6242,TRUE,0.085714286,0.592857143,-0.4,2.6,positive,negative,
688,2021-02-19 03:01:02+00:00," Tesla’s action is not directly reflective of my opinion. Having some Bitcoin, which is simply a less dumb form of liquidity than cash, is adventurous enough for an S&amp;P500 company.",3433,TRUE,0.001388889,0.411111111,-0.1,1.2,positive,negative,-1
706,2021-02-14 23:33:22+00:00, An acceptable percentage. Doge is much more concentrated.,741,TRUE,0.5,0.5,0.1,0.3,positive,positive,1
707,2021-02-14 23:25:16+00:00,"If major Dogecoin holders sell most of their coins, it will get my full support. Too much concentration is the only real issue imo.",34814,TRUE,0.21875,0.508333333,0,0.6,positive,neutral,1
718,2021-02-11 23:27:37+00:00, Doge is underestimated,8575,TRUE,0,0,0,0,neutral,neutral,1
721,2021-02-11 09:08:33+00:00,"Frodo was the underdoge,
All thought he would fail,
Himself most of all. ",30416,TRUE,0,0.4,-0.2,0.2,neutral,negative,1
729,2021-02-10 15:08:11+00:00,"Bought some Dogecoin for lil X, so he can be a toddler hodler",59142,TRUE,0,0,0.1,0.1,neutral,positive,1
735,2021-02-10 07:13:58+00:00, Any crypto wallet that won’t give you your private keys should be avoided at all costs,4717,TRUE,0,0.375,-0.8,0.8,neutral,negative,-1
749,2021-02-08 05:27:36+00:00," Doge appears to be inflationary, but is not meaningfully so (fixed # of coins per unit time), whereas BTC is arguably deflationary to a fault.

Transaction speed of Doge should ideally be a few orders of magnitude faster.",3559,TRUE,-0.125,0.15,-0.3,0.7,negative,negative,
757,2021-02-07 22:25:14+00:00,🎶 Who let the Doge out 🎶,114450,TRUE,0,0,-0.3,0.3,neutral,negative,1
760,2021-02-07 06:24:50+00:00, It’s the most fun crypto!,3742,TRUE,0.4375,0.35,0.9,0.9,positive,positive,1
774,2021-02-06 08:42:25+00:00, Dogecake,1314,TRUE,0,0,0.3,0.3,neutral,positive,1
802,2021-02-04 08:27:10+00:00,"No highs, no lows, only Doge",113712,TRUE,0,1,-0.4,0.4,neutral,negative,1
804,2021-02-04 08:15:26+00:00,Dogecoin is the people’s crypto,103743,TRUE,0,0,0.3,0.3,neutral,positive,1
807,2021-02-04 07:35:35+00:00,Doge,45959,TRUE,0,0,0.3,0.3,neutral,positive,1
1139,2020-12-20 09:30:04+00:00,One word: Doge,26216,TRUE,0,0,0.2,0.2,neutral,positive,1
1140,2020-12-20 09:24:37+00:00,Bitcoin is almost as bs as fiat money,10135,TRUE,0,0,-0.9,0.9,neutral,negative,-1
1148,2020-12-20 08:21:25+00:00,Bitcoin is my safe word,19760,TRUE,0.5,0.5,0.4,0.4,positive,positive,1
1214,2020-12-03 23:40:23+00:00, And no toilet paper 🤣🤣,74,TRUE,0.016666667,0,-0.7,0.7,positive,negative,1
1336,2020-11-17 18:45:21+00:00,   Dojo/Doge,73,TRUE,0,0,0,0,neutral,neutral,1
1355,2020-11-17 06:54:03+00:00," _Williams 👻 💵 
theonion.com/bitcoin-plunge…",55,TRUE,0,0,0.2,0.2,neutral,positive,1
1358,2020-11-16 22:02:51+00:00,_Williams 🎶 Toss a bitcoin to ur Witcher 🎶,3287,TRUE,0,0,0.2,0.2,neutral,positive,1
1891,2020-09-20 03:33:30+00:00,  Shaped like a diamond &amp; aligned on true north,207,TRUE,0.35,0.65,0.5,0.5,positive,positive,1
2502,2020-07-18 00:53:43+00:00," Excuse me, I only sell Doge!",849,TRUE,-0.025,0.525,-0.3,0.3,negative,negative,1
2715,2020-07-02 16:42:52+00:00,"    I’m not building anything on ethereum. Not for or against it, just don’t use it or own any.",177,TRUE,0.6,1,-0.6,1.2,positive,negative,-1
2922,2020-06-10 18:42:22+00:00,"  We could never reach 380 Isp with RP/kerosene. CH4 has higher Isp potential on paper, but even better in practice. With CH4, you can reach &gt;99% of max theoretical combustion efficiency, but RP is ~97% on a good day &amp; requires desooting of turbines between flights.",96,TRUE,0.29,0.54,0.2,1.9,positive,positive,
2937,2020-06-10 14:00:33+00:00,"  (Formerly) mainstream media has systemic negative &amp; political bias about almost everything. Reading major newspapers makes you feel sad &amp; angry. That’s why they’re being crushed by . Likes/retweets of old media are extremely low. Ironic article:
nytimes.com/2020/05/25/opi…",1879,TRUE,-0.10375,0.45,-0.6,3.2,negative,negative,
3074,2020-05-15 22:51:44+00:00,_rowling I still only own 0.25 Bitcoins btw,994,TRUE,0.3,1,-0.1,0.1,positive,negative,1
3075,2020-05-15 22:03:01+00:00,"_rowling Pretty much, although massive currency issuance by govt central banks is making Bitcoin Internet 👻 money look solid by comparison",2818,TRUE,0.09,0.51,0,0,positive,neutral,1
3338,2020-05-01 22:44:56+00:00, How much for some anime Bitcoin? ,2204,TRUE,0.2,0.2,0,0,positive,neutral,1
3430,2020-04-25 13:29:52+00:00,  Dogecoin Mode,236,TRUE,0,0,0.3,0.3,neutral,positive,1
3632,2020-04-12 05:26:40+00:00,Turns out that gun is for the toilet paper ,49831,TRUE,-0.033333333,0,-0.5,0.5,negative,negative,
3776,2020-03-27 15:27:10+00:00," Biggest value Tesla is providing is precise delivery of ventilators exactly to the ICU where &amp; when they’re needed. There are many ventilators in warehouses, but stuck in logistics/routing/paperwork issues.",363,TRUE,0.383333333,0.516666667,0,1.6,positive,neutral,
3891,2020-03-17 03:27:14+00:00,This paper matches what I’m hearing from a lot of smart people elsevier.com/__data/assets/…,1323,TRUE,0.214285714,0.642857143,0.9,0.9,positive,positive,
4217,2020-02-01 23:47:25+00:00, The crypto scam level on Twitter is reaching new levels. This is not cool.,435,TRUE,-0.019318182,0.552272727,-0.7,1.5,negative,negative,-1
4373,2020-01-10 06:53:10+00:00,Bitcoin is *not* my safe word,8710,TRUE,0.5,0.5,-0.7,0.7,positive,negative,-1
6118,2019-05-24 20:20:34+00:00,_Ryan Paperwork &amp; hundreds of approving authorities is by far the hardest part,17,TRUE,0.1,1,-0.3,0.3,positive,negative,
6324,2019-04-30 07:24:40+00:00, What should be developed on Ethereum?,1158,TRUE,0.1,0.3,0,0,positive,neutral,1
6332,2019-04-30 01:15:53+00:00,Ethereum,9338,TRUE,0,0,0.3,0.3,neutral,positive,1
6557,2019-04-13 16:22:16+00:00, Cryptocurrency is my safe word,1741,TRUE,0.5,0.5,0.4,0.4,positive,positive,
6672,2019-04-02 20:38:38+00:00,Dogecoin value may vary theonion.com/bitcoin-plunge…,1943,TRUE,0,0,-0.3,0.3,neutral,negative,-1
6673,2019-04-02 20:16:58+00:00,Dogecoin rulz ,16425,TRUE,0,0,0.3,0.3,neutral,positive,1
6675,2019-04-02 09:24:39+00:00,_Heats Dogecoin might be my fav cryptocurrency. It’s pretty cool.,3402,TRUE,0.3,0.825,0.9,1.8,positive,positive,1
